,zip,state,excessive_count,readmission_ratio,predicted_rate,expected_rate,nursing_care,physical_therapy,occupational_therapy,pathology_services,medical_soc_services,home_health_aid,star_rating,timeliness,rx_ed,fall_risk,depression_check,flu_shot,pneumonia_shot,d_foot_care,move_buff,in_out_bed_buff,bathing_buff,move_pain_debuff,breathing_buff,oral_rx_buff,hospital_admit,urgent_noadmit,readmit_expectation,er_admit_expectation
768,61455,IL,1,0.9983249999999999,19.35,19.399999999999995,1,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,3.357142857142857,93.2,97.15714285714286,99.98571428571428,98.04285714285713,66.5,62.0142857142857,96.74285714285715,71.02857142857144,65.48571428571428,81.54285714285713,82.5,75.77142857142857,61.60000000000001,18.04285714285714,8.77142857142857,2,2
769,62946,IL,3,0.9918999999999999,15.877777777777778,16.188888888888886,1,1.0,1.0,1.0,1.0,1.0,4.0,99.4,99.7,99.9,99.7,77.7,74.8,100.0,67.3,71.0,75.6,81.8,81.7,74.8,14.3,11.0,2,2
770,42345,KY,2,1.0097500000000001,16.783333333333335,16.95,1,1.0,1.0,1.0,0.5,1.0,3.25,96.25,91.3,99.9,99.4,61.85,69.95,92.85,76.45,72.5,82.05,66.65,57.800000000000004,69.44999999999999,14.9,17.200000000000003,2,2
771,41653,KY,8,1.035425,20.874999999999996,20.125,1,1.0,0.5,0.5,0.0,1.0,3.5,93.1,99.8,100.0,100.0,71.3,79.05,99.4,78.15,71.85,63.55,72.45,63.0,45.7,14.2,13.35,2,2
772,51360,IA,0,1.0016,17.5,17.4,1,1.0,1.0,1.0,1.0,1.0,4.5,94.6,99.7,99.7,98.4,87.5,90.4,99.3,82.8,78.4,87.9,85.5,85.5,72.3,15.5,14.3,2,1
773,66112,KS,6,0.9429666666666666,14.433333333333332,15.283333333333333,1,1.0,1.0,1.0,1.0,1.0,4.5,99.8,100.0,100.0,100.0,81.6,84.4,100.0,75.4,72.4,80.9,84.2,88.4,61.8,21.5,14.5,1,2
774,1040,MA,4,0.9823000000000001,11.799999999999999,12.133333333333333,1,1.0,1.0,1.0,0.0,1.0,2.0,93.2,93.8,99.2,99.1,43.1,33.1,94.8,62.3,49.0,65.3,64.9,69.5,51.3,23.7,14.2,1,2
775,70403,LA,0,1.03838,17.639999999999997,17.18,1,1.0,1.0,1.0,1.0,1.0,2.5,92.0,98.2,99.6,97.4,81.5,85.4,88.6,63.5,60.4,66.7,64.8,67.4,52.0,19.7,13.2,2,1
776,17403,PA,2,1.0122499999999999,16.4,16.05,1,1.0,1.0,1.0,1.0,1.0,2.0,90.4,30.6,100.0,98.4,74.5,73.4,22.9,71.6,61.5,65.8,41.9,44.5,42.7,22.2,14.0,2,2
777,28001,NC,2,1.0743,16.1,15.0,1,1.0,0.0,0.0,0.0,1.0,4.0,98.6,99.0,99.8,99.9,74.9,82.6,99.3,84.7,77.1,89.6,70.6,86.1,79.5,21.3,11.2,2,2
778,74012,OK,1,1.0344,16.533333333333335,16.000000000000004,1,1.0,1.0,1.0,1.0,1.0,3.4285714285714284,95.32857142857142,98.42857142857143,99.64285714285714,98.48571428571428,80.91428571428573,89.57142857142856,95.15714285714286,73.14285714285714,68.25714285714285,78.64285714285714,71.0142857142857,65.25714285714285,65.31428571428572,16.571428571428573,16.27142857142857,2,1
779,11209,NY,5,0.9438,14.049999999999999,14.683333333333335,1,1.0,1.0,1.0,1.0,1.0,4.0,96.15,99.95,99.9,98.75,75.19999999999999,75.0,98.85,78.4,76.6,80.4,80.35,79.3,66.25,19.35,11.75,2,2
780,44223,OH,4,1.0333,17.62,16.64,1,1.0,1.0,1.0,1.0,1.0,4.5,98.7,98.9,99.8,99.1,81.3,82.6,99.6,77.3,77.6,85.1,90.2,81.8,79.7,14.1,18.3,2,1
781,15767,PA,0,0.9899000000000001,16.779999999999998,16.74,1,1.0,1.0,1.0,1.0,1.0,2.5,83.6,98.4,98.1,97.5,51.4,68.6,97.9,65.1,60.2,62.0,52.6,62.4,31.6,4.5,10.7,0,0
782,76903,TX,2,1.1235833333333334,17.466666666666665,15.5,1,1.0,1.0,1.0,1.0,1.0,3.5,93.8,97.8,100.0,100.0,85.3,93.6,98.9,71.5,66.3,79.4,79.1,70.1,69.4,12.2,21.8,2,1
783,76905,TX,1,1.0143799999999998,15.339999999999998,15.080000000000002,1,1.0,1.0,1.0,1.0,1.0,2.5,88.375,87.025,100.0,99.95,80.25,81.925,99.85,59.375,50.8,63.775,64.225,60.25,46.2,16.75,13.7,2,2
784,78336,TX,0,1.1235833333333334,17.466666666666665,15.5,1,1.0,1.0,1.0,1.0,1.0,3.5,95.0,96.9,99.3,98.4,77.2,84.6,98.0,72.2,69.6,76.4,73.8,79.8,57.2,14.3,12.4,1,1
785,77030,TX,0,0.9807333333333333,17.53333333333333,17.866666666666667,1,1.0,1.0,0.0,1.0,1.0,3.0,94.9,88.7,100.0,96.6,67.6,83.9,88.0,70.0,63.4,76.0,78.2,77.6,55.8,15.4,16.5,2,2
786,79201,TX,0,1.00084,15.620000000000001,15.02,1,1.0,1.0,1.0,1.0,1.0,4.0,100.0,100.0,100.0,99.7,87.1,88.5,100.0,67.1,60.8,75.9,82.9,59.8,60.8,17.2,16.2,2,1
787,2908,RI,6,0.92205,14.483333333333334,15.816666666666668,1,1.0,1.0,1.0,1.0,0.75,2.875,94.675,96.26875,99.76249999999999,94.65625,64.98750000000001,74.3,98.50000000000001,62.2125,49.712500000000006,62.60000000000001,59.449999999999996,52.356249999999996,50.35,11.5125,13.14375,0,0
788,2907,RI,3,1.0708833333333334,15.616666666666667,15.200000000000001,1,1.0,1.0,1.0,1.0,1.0,4.0,97.2,98.7,98.9,97.8,84.2,84.1,93.2,75.0,66.8,77.7,84.2,78.7,58.8,13.4,16.5,2,1
789,2865,RI,3,1.0042,15.499999999999998,15.425,1,1.0,1.0,1.0,1.0,1.0,2.0,87.9,97.8,100.0,100.0,77.7,93.2,100.0,48.2,40.7,56.3,57.1,46.4,47.0,12.9,15.9,2,2
790,91801,CA,1,1.02094,16.566666666666666,16.213333333333335,1,1.0,1.0,1.0,1.0,1.0,3.5,99.4,96.4,100.0,90.8,84.3,91.1,96.8,71.4,79.4,73.2,49.3,68.5,47.1,13.1,10.0,2,2
